iter	Passed	Remaining
0	58	58146
1	58	29233
2	58	19574
3	59	14735
4	59	11844
5	60	9945
6	60	8564
7	60	7520
8	60	6706
9	61	6058
10	61	5535
11	61	5098
12	62	4725
13	62	4411
14	63	4141
15	63	3903
16	63	3689
17	64	3498
18	64	3324
19	64	3170
20	65	3030
21	65	2905
22	65	2791
23	66	2685
24	66	2587
25	66	2496
26	66	2411
27	67	2333
28	67	2260
29	67	2192
30	68	2132
31	68	2074
32	68	2018
33	69	1965
34	69	1915
35	69	1867
36	70	1822
37	70	1779
38	70	1739
39	70	1701
40	71	1665
41	71	1630
42	71	1597
43	72	1566
44	72	1537
45	72	1507
46	73	1480
47	73	1455
48	73	1433
49	74	1409
50	74	1385
51	74	1363
52	75	1341
53	75	1322
54	75	1304
55	76	1286
56	76	1267
57	76	1249
58	77	1231
59	77	1215
60	78	1200
61	78	1184
62	78	1169
63	78	1154
64	79	1141
65	79	1129
66	80	1116
67	80	1101
68	80	1090
69	81	1077
70	81	1065
71	81	1053
72	82	1041
73	82	1032
74	82	1023
75	83	1012
76	83	1001
77	84	993
78	84	983
79	84	973
80	84	964
81	85	956
82	85	948
83	86	939
84	86	929
85	86	921
86	86	911
87	87	903
88	87	896
89	87	889
90	88	883
91	88	876
92	89	868
93	89	861
94	89	854
95	89	847
96	90	840
97	90	833
98	90	828
99	91	822
100	91	817
101	92	810
102	92	805
103	92	800
104	93	794
105	93	788
106	93	782
107	94	776
108	94	771
109	94	766
110	94	760
111	95	755
112	95	750
113	95	745
114	96	741
115	96	736
116	97	732
117	97	727
118	97	722
119	98	719
120	98	714
121	98	709
122	98	704
123	99	700
124	99	696
125	99	692
126	100	687
127	100	682
128	100	678
129	100	674
130	101	670
131	101	667
132	101	663
133	102	659
134	102	655
135	102	651
136	102	648
137	103	644
138	103	640
139	103	637
140	104	634
141	104	631
142	104	628
143	105	624
144	105	621
145	105	618
146	105	614
147	106	611
148	106	608
149	106	605
150	107	602
151	107	599
152	107	596
153	108	594
154	108	591
155	108	588
156	109	585
157	109	583
158	109	580
159	110	578
160	110	575
161	110	572
162	111	570
163	111	567
164	111	565
165	112	563
166	112	560
167	112	558
168	113	556
169	113	554
170	113	551
171	114	549
172	114	547
173	114	544
174	115	542
175	115	540
176	115	537
177	115	535
178	116	533
179	116	530
180	116	527
181	116	525
182	117	523
183	117	521
184	117	518
185	118	517
186	118	515
187	118	513
188	119	511
189	119	510
190	119	508
191	120	506
192	120	503
193	120	501
194	121	499
195	121	497
196	121	496
