iter	Passed	Remaining
0	60	59977
1	60	30134
2	60	20183
3	61	15212
4	61	12237
5	61	10242
6	62	8821
7	62	7753
8	62	6921
9	63	6255
10	63	5711
11	64	5326
12	65	4944
13	65	4609
14	65	4317
15	66	4062
16	66	3841
17	66	3648
18	67	3469
19	67	3308
20	67	3161
21	68	3030
22	68	2909
23	68	2797
24	69	2696
25	69	2605
26	69	2519
27	70	2444
28	71	2378
29	71	2307
30	71	2239
31	71	2177
32	72	2117
33	72	2062
34	72	2009
35	73	1959
36	73	1913
37	73	1868
38	74	1826
39	74	1786
40	74	1748
41	75	1714
42	75	1680
43	75	1646
44	76	1615
45	76	1584
46	76	1555
47	77	1527
48	77	1501
49	77	1476
50	78	1451
51	78	1427
52	78	1406
53	79	1384
54	79	1365
55	79	1344
56	80	1323
57	80	1304
58	80	1285
59	80	1266
60	81	1249
61	81	1233
62	81	1216
63	82	1200
64	82	1186
65	82	1171
66	83	1157
67	83	1142
68	83	1129
69	83	1115
70	84	1102
71	84	1089
72	84	1078
73	85	1067
74	85	1056
75	86	1047
76	86	1036
77	86	1026
78	87	1016
79	87	1007
80	87	997
81	88	989
82	88	978
83	88	968
84	89	959
85	89	950
86	89	941
87	89	932
88	90	923
89	90	915
90	90	907
91	91	899
92	91	891
93	91	883
94	92	876
95	92	869
96	92	862
97	92	855
98	93	848
99	93	841
100	93	834
101	94	827
102	94	821
103	94	815
104	94	808
105	95	802
106	95	796
107	95	790
108	96	784
109	96	779
110	96	773
111	96	767
112	97	762
113	97	756
114	97	751
115	97	746
116	98	741
117	98	736
118	98	731
119	99	726
120	99	722
121	99	716
122	99	712
123	100	707
124	100	702
125	100	698
126	101	694
127	101	694
128	102	690
129	102	686
130	102	682
131	103	678
132	103	674
133	103	670
134	103	666
135	104	662
136	104	659
137	104	655
138	105	651
139	105	647
140	105	644
141	105	639
142	106	636
143	106	632
144	106	629
145	106	625
146	107	622
147	107	619
148	107	615
149	108	612
150	108	609
151	108	606
152	108	603
153	109	600
154	109	598
155	110	595
156	110	592
157	110	589
158	110	586
159	111	583
160	111	580
161	111	577
162	111	574
163	112	571
164	112	568
165	112	565
166	112	563
167	113	560
168	113	558
169	113	555
170	114	552
171	114	550
172	114	548
173	114	545
174	115	543
175	115	540
176	115	538
177	116	535
178	116	533
179	116	531
180	117	529
181	117	527
182	118	528
183	118	526
184	118	524
185	119	521
186	119	519
187	119	517
188	120	515
189	120	512
190	120	510
191	120	508
192	121	506
193	121	504
194	121	501
195	121	499
196	122	497
197	122	495
198	122	493
199	123	492
200	123	490
201	123	488
202	123	486
203	124	484
204	124	482
205	124	480
206	124	478
207	125	477
208	125	475
209	125	473
210	126	471
